token,score
deliver,81.731
painful,80.993
spoke,80.924
beneficent,80.433
families,80.202
reigned,80.202
sky,79.510
midst,79.263
manasseh,79.187
place,79.165
bronze,79.059
bring,78.954
benjamin,78.860
revelation,78.509
joab,78.316
sanctuary,77.582
granted,77.467
benefit,76.724
thirty,76.706
believing,75.957
gilead,75.606
know,75.253
best,75.215
priest,74.175
built,72.643
means,72.577
assyria,72.218
jeremiah,71.940
zion,71.865
mighty,71.843
strength,71.718
belief,71.482
gate,71.312
cubits,71.265
north,70.931
river,70.816
jordan,70.182
unless,70.109
behold,70.062
pilate,69.991
does,69.428
galilee,69.135
peoples,68.956
inhabitants,68.879
preaching,68.499
congregation,67.688
ark,66.989
servant,66.604
covenant,66.518
messengers,66.431
hezekiah,65.661
creation,65.517
head,65.372
mouth,64.891
astray,64.791
scribes,64.744
tax,64.677
samuel,64.520
universe,64.025
reason,63.436
edom,63.417
teacher,63.350
path,63.073
power,62.632
army,62.615
sins,62.226
judea,62.119
lawful,61.082
boat,61.044
witness,61.021
town,60.780
jonathan,60.710
try,60.538
inheritance,60.492
desolate,60.419
sufficient,60.364
news,60.309
baptized,59.553
oil,59.406
happiness,59.142
sinful,58.794
beth,58.681
jeroboam,58.681
moses,58.596
work,58.571
brought,58.545
wall,58.521
meeting,58.365
parents,58.062
synagogue,58.062
injustice,57.907
judgments,57.468
old,57.431
incense,56.574
doers,56.571
chariots,56.209
burned,55.951
multitudes,55.933
whomever,55.820
tribe,55.152
unseen,55.081
terrible,55.001
knowledge,54.983
clear,54.817
baal,54.698
bull,54.623
seven,54.417
eternal,54.370
border,54.023
steadfast,53.965
morning,53.610
devil,53.590
lips,53.481
nebuchadnezzar,53.271
wood,52.818
glorify,52.549
south,52.155
james,52.100
forgive,51.920
absalom,51.919
need,51.701
dwellers,51.701
exercise,51.701
hardship,51.701
ammon,51.243
ways,50.803
crucified,50.610
herod,50.610
virtue,50.610
ahab,50.567
hypocrites,50.191
saved,50.176
group,50.023
assembly,49.821
bless,49.821
gardens,49.784
gods,49.600
valley,49.560
oh,49.468
shekels,49.215
east,49.179
condemned,49.006
told,48.965
burn,48.922
considered,48.860
atonement,48.539
teaching,48.529
parable,48.485
desires,48.250
battle,48.237
grant,48.232
recompense,48.232
share,47.876
descendants,47.764
places,47.435
error,47.299
followers,47.240
virtuous,47.240
doubt,47.050
tent,47.035
fine,47.014
lost,46.953
repent,46.500
eyes,46.388
canaan,46.365
churches,46.140
philip,46.140
respite,46.140
pillars,46.101
belongs,46.057
gad,45.919
sing,45.757
scripture,45.753
captivity,45.362
chaldeans,45.244
dead,45.226
commanded,45.214
esau,45.024
court,44.719
disbelieve,44.650
manifest,44.650
sweet,44.431
permission,44.199
worthy,44.199
punishment,44.131
reject,44.083
remnant,44.082
break,43.877
numbered,43.768
blind,43.595
lift,43.362
seventh,43.228
jehoshaphat,43.220
demon,43.160
fled,42.897
enemies,42.824
protect,42.781
subject,42.781
fellow,42.747
egyptians,42.737
story,42.618
livestock,42.545
fruits,42.390
fall,42.345
houses,42.304
warn,41.872
hebron,41.784
rams,41.784
selah,41.784
followed,41.717
consider,41.699
captains,41.676
ram,41.676
criminals,41.670
heavenly,41.670
piety,41.670
public,41.670
retribution,41.670
unlawful,41.670
worshipped,41.670
came,41.622
gathered,41.610
broken,41.297
marveled,41.295
suffered,41.295
thanks,41.275
able,41.155
believes,41.141
amorites,41.109
dan,41.109
firstborn,40.653
knew,40.509
souls,40.378
barnabas,40.181
beings,40.181
nazareth,40.181
religious,40.181
wills,40.181
flock,40.060
captive,40.049
greater,39.852
self,39.850
control,39.810
crowd,39.810
suffering,39.810
eleazar,39.758
testify,39.674
lose,39.666
waiting,39.666
priests,39.564
samaria,39.381
lambs,39.377
fat,39.371
bore,39.127
camped,39.083
groups,38.691
ignore,38.691
prevent,38.691
relations,38.691
reminder,38.691
reuben,38.499
possession,38.480
zedekiah,38.408
demons,38.405
result,38.325
half,38.258
reply,38.192
offer,38.117
make,37.949
flocks,37.821
bethel,37.733
daniel,37.362
bounties,37.202
condemnation,37.202
judas,37.202
receiving,37.202
sight,37.096
abimelech,37.058
fury,37.058
utterly,37.005
far,36.960
consumed,36.716
ought,36.676
purpose,36.516
territory,36.477
sacrifice,36.435
lebanon,36.383
famine,36.352
goats,36.194
wickedness,35.906
differences,35.713
muslims,35.713
responsible,35.713
tradition,35.713
wish,35.639
seventy,35.604
reveal,35.523
miracle,35.357
truthful,35.357
abominations,35.349
walls,35.349
ignorant,35.318
rod,35.190
waste,35.130
ground,35.069
counsel,35.048
begot,34.835
body,34.703
stones,34.630
length,34.456
horses,34.448
victory,34.411
lifted,34.401
conscience,34.224
submitted,34.224
voice,34.098
killed,34.090
liars,33.874
doctrine,33.864
homes,33.864
obedience,33.777
abner,33.683
jehu,33.683
syrians,33.683
build,33.655
bowed,33.407
hills,33.338
tents,33.338
let,33.215
flour,33.109
sick,33.072
mountains,33.067
bashan,33.009
attractive,32.735
disciple,32.735
illustrious,32.735
promises,32.735
scriptures,32.735
supreme,32.735
thamud,32.735
serve,32.665
gentiles,32.545
lands,32.448
width,32.436
members,32.391
recall,32.391
jehoiada,32.334
mordecai,32.334
falsehood,32.285
property,32.285
oxen,31.800
plunder,31.762
wine,31.638
spend,31.468
entrance,31.328
baptism,31.246
caesar,31.246
carnal,31.246
genuine,31.246
synagogues,31.246
worshipping,31.246
lion,31.097
wrong,31.059
pay,31.017
abomination,31.003
forsake,31.003
abram,30.985
canaanites,30.985
various,30.963
denied,30.909
spiritual,30.909
mortal,30.841
single,30.841
died,30.781
cherubim,30.416
edge,30.416
fortified,30.310
laban,30.310
meet,30.249
buried,30.151
rock,30.048
stranger,29.954
thing,29.945
reproach,29.817
warning,29.796
bread,29.774
accuse,29.757
admit,29.757
begged,29.757
clearly,29.757
decided,29.757
disregard,29.757
mystery,29.757
timothy,29.757
articles,29.636
prostrate,29.517
circumcision,29.427
council,29.427
dispute,29.376
experience,29.376
carved,29.321
leader,29.321
captain,29.303
forsaken,29.303
gates,29.301
neighbor,29.266
shechem,29.070
better,28.739
male,28.692
chariot,28.652
images,28.652
plague,28.652
lived,28.392
forever,28.357
cedar,28.287
gibeah,28.287
ad,28.268
example,28.268
lusts,28.268
mosque,28.268
torah,28.268
donkeys,28.138
guides,28.074
forth,28.054
kingdom,27.979
recite,27.946
magic,27.912
started,27.912
mere,27.877
height,27.725
greet,27.702
azariah,27.612
fourth,27.458
taken,27.386
loss,27.379
kingdoms,27.315
faithful,27.311
spoil,27.053
zadok,27.053
balaam,27.024
liar,26.956
warned,26.956
rachel,26.938
given,26.850
anointed,26.844
pour,26.827
gather,26.821
apostle,26.779
asia,26.779
centurion,26.779
later,26.779
questioned,26.779
subservient,26.779
message,26.681
altars,26.648
rested,26.648
books,26.634
pieces,26.525
reign,26.524
began,26.514
mountain,26.472
number,26.472
drowned,26.467
grants,26.467
invented,26.467
preference,26.467
realize,26.467
creatures,26.454
greatest,26.454
easy,26.451
gains,26.451
chambers,26.380
esther,26.264
joash,26.264
beasts,25.925
brook,25.708
trespass,25.708
benaiah,25.589
pestilence,25.589
arm,25.518
streams,25.417
prayer,25.376
breath,25.313
argue,25.291
authoritative,25.291
distinction,25.291
humiliating,25.291
inevitable,25.291
macedonia,25.291
parables,25.291
resurrected,25.291
fulfilled,25.219
curse,25.159
create,25.143
mount,25.097
elisha,25.041
horn,25.036
patient,24.988
lie,24.921
encamped,24.915
ephod,24.915
defiled,24.798
swore,24.798
flow,24.742
drink,24.665
satisfied,24.647
shield,24.647
affairs,24.603
guided,24.603
wronged,24.603
person,24.561
seeing,24.444
goat,24.364
saints,24.242
ephah,24.241
harlotry,24.241
mizpah,24.241
shimei,24.241
skin,24.213
asa,23.980
bulls,23.980
plant,23.980
look,23.963
ear,23.895
caesarea,23.802
islam,23.802
lesson,23.802
mecca,23.802
stern,23.802
supposed,23.802
verses,23.802
iron,23.798
marry,23.787
proper,23.746
spirits,23.746
asher,23.692
threshing,23.692
strong,23.582
caleb,23.567
hadad,23.567
merari,23.567
seir,23.567
carried,23.551
soon,23.537
heirs,23.537
orphans,23.537
disputes,23.510
sailed,23.510
trial,23.510
tribulation,23.510
cease,23.486
cursed,23.479
wife,23.382
moved,23.361
justified,23.226
slain,23.172
commit,23.125
sheep,23.083
horsemen,23.064
pit,23.052
bow,23.040
honey,22.912
job,22.912
ben,22.893
chronicles,22.893
countries,22.893
jehoiakim,22.893
wooden,22.893
deep,22.861
words,22.801
just,22.799
tribes,22.770
arise,22.717
josiah,22.649
harm,22.621
taught,22.487
tongues,22.446
face,22.392
charge,22.373
help,22.369
balak,22.350
issachar,22.350
heads,22.345
rewards,22.341
rest,22.336
continually,22.323
accusation,22.314
admitted,22.314
antioch,22.314
capernaum,22.314
collectors,22.314
doubts,22.314
expect,22.314
mim,22.314
possible,22.314
praiseworthy,22.314
proof,22.314
sexual,22.314
threatened,22.314
ungrateful,22.314
hill,22.262
dew,22.219
fatherless,22.219
gath,22.219
gilgal,22.219
inner,22.196
named,22.189
hope,22.141
leaders,22.013
floor,21.984
multiply,21.984
door,21.881
poor,21.841
calamity,21.749
naphtali,21.749
prayed,21.743
donkey,21.709
ahaz,21.678
nathan,21.678
valor,21.678
justice,21.676
lay,21.667
noah,21.615
fool,21.614
slaughter,21.561
amaziah,21.545
dismayed,21.545
hamath,21.545
ramah,21.545
different,21.398
covered,21.379
service,21.374
deserves,21.341
destitute,21.341
ship,21.341
heap,21.319
iniquities,21.319
destroy,21.165
flee,21.112
possess,21.112
rehoboam,21.007
jericho,20.931
rivers,20.931
question,20.920
sail,20.920
sockets,20.871
achieve,20.826
angelic,20.826
ephesus,20.826
godliness,20.826
greek,20.826
pairs,20.826
puffed,20.826
warner,20.826
eat,20.821
beloved,20.708
entered,20.664
noise,20.655
ignorance,20.635
dry,20.629
seeking,20.565
exist,20.559
expel,20.559
greeks,20.559
recited,20.559
star,20.559
ministry,20.496
transgressions,20.438
testimonies,20.337
removed,20.304
gift,20.214
ai,20.197
beersheba,20.197
gibeon,20.197
herds,20.197
heshbon,20.197
shemaiah,20.197
shiloh,20.197
vanity,20.197
deed,20.162
aroused,19.992
prosper,19.992
shout,19.992
spear,19.992
sacrifices,19.983
deserve,19.955
likewise,19.857
raised,19.788
blue,19.783
villages,19.758
youth,19.758
samson,19.666
mixed,19.647
servants,19.604
kind,19.527
line,19.523
plundered,19.523
poles,19.523
shekel,19.523
finished,19.474
amen,19.413
near,19.412
alif,19.337
baptist,19.337
barrier,19.337
bible,19.337
boasting,19.337
consequences,19.337
crucify,19.337
disbelieved,19.337
dislike,19.337
disobey,19.337
hostility,19.337
ignored,19.337
lam,19.337
manifested,19.337
mislead,19.337
muslim,19.337
nature,19.337
perdition,19.337
rabbi,19.337
rejects,19.337
sadducees,19.337
salih,19.337
spouses,19.337
temptation,19.337
syria,19.271
cloud,19.201
angel,19.194
forgave,19.191
private,19.191
calling,19.153
marriage,19.145
submit,19.145
devour,19.143
wings,19.143
aroma,19.130
song,19.130
thousands,19.130
amazed,19.086
fornication,19.086
guardians,19.086
openly,19.086
proved,19.086
replace,19.086
redeemed,19.054
sinners,19.047
camels,19.033
pleasant,19.013
instruments,18.996
relatives,18.940
common,18.865
foot,18.865
ahaziah,18.849
bars,18.849
gedaliah,18.849
inhabitant,18.849
molded,18.849
overlaid,18.849
sihon,18.849
tribute,18.849
returned,18.806
trumpets,18.667
angry,18.592
committing,18.577
false,18.566
arrows,18.478
ox,18.478
zebulun,18.478
delivered,18.459
trouble,18.459
telling,18.458
high,18.446
inquire,18.391
touches,18.326
linen,18.310
glad,18.278
doors,18.240
levi,18.240
free,18.236
acacia,18.175
gatekeepers,18.175
leah,18.175
philistine,18.175
wail,18.175
second,18.129
claim,18.098
unaware,18.098
ordinance,18.005
doing,18.005
ashamed,17.923
fifth,17.920
enjoy,17.869
absolute,17.849
alms,17.849
ayb,17.849
betrayed,17.849
christians,17.849
dragon,17.849
examples,17.849
exhort,17.849
festus,17.849
forbearing,17.849
hardships,17.849
indecency,17.849
lazarus,17.849
magdalene,17.849
martha,17.849
partakers,17.849
properly,17.849
prostration,17.849
shu,17.849
submissive,17.849
truthfulness,17.849
mourning,17.826
sinned,17.733
helper,17.731
stand,17.704
armed,17.656
awesome,17.656
gideon,17.656
woven,17.656
accused,17.615
disobedience,17.615
fellowship,17.615
leaving,17.615
necessary,17.615
opportunity,17.615
whichever,17.615
enter,17.569
hananiah,17.502
jezreel,17.502
kirjath,17.502
lovingkindness,17.502
rebekah,17.502
thread,17.502
mind,17.486
offered,17.471
harlot,17.466
shame,17.399
blemish,17.345
word,17.322
praise,17.289
upright,17.277
abides,17.209
decreed,17.209
travel,17.209
violence,17.195
coming,17.185
lions,17.176
murder,17.153
tried,17.153
sackcloth,17.112
boards,16.987
nun,16.987
pity,16.987
today,16.857
chamber,16.828
elam,16.828
hilkiah,16.828
hittite,16.828
kadesh,16.828
kid,16.828
micah,16.828
sprinkle,16.828
statute,16.828
stronghold,16.828
valiant,16.828
grave,16.706
asking,16.699
especially,16.699
guilt,16.685
zechariah,16.685
divide,16.528
account,16.511
crossed,16.498
begotten,16.476
contrary,16.476
meat,16.474
scarlet,16.474
hear,16.460
hearing,16.457
achaia,16.361
agrippa,16.361
andrew,16.361
evident,16.361
experienced,16.361
hades,16.361
iblis,16.361
magician,16.361
pearls,16.361
persecution,16.361
reform,16.361
rooster,16.361
supper,16.361
titus,16.361
tormented,16.361
trustworthy,16.361
weakness,16.361
sister,16.361
dug,16.318
thigh,16.318
betray,16.317
disobedient,16.317
immorality,16.317
neck,16.276
ahasuerus,16.154
array,16.154
precepts,16.154
provinces,16.154
ramoth,16.154
shallum,16.154
boldly,16.147
forgives,16.147
pray,16.119
ends,16.103
abundance,16.084
blood,16.075
maidservant,16.026
haman,15.966
prince,15.966
tenth,15.966
slave,15.907
eaten,15.897
bird,15.880
eighty,15.880
weary,15.874
strive,15.863
soul,15.830
trees,15.813
wept,15.812
eli,15.650
palaces,15.650
praises,15.650
glorified,15.646
walked,15.538
doings,15.481
phinehas,15.481
siege,15.481
utensils,15.481
careful,15.368
consecrate,15.368
fruitful,15.368
royal,15.368
beware,15.345
streets,15.315
disgrace,15.309
elect,15.309
acts,15.276
instruction,15.235
simeon,15.206
gone,15.083
support,15.053
rejoice,14.998
oath,14.993
loud,14.966
maintain,14.905
mocked,14.905
possessed,14.905
enjoyment,14.890
falling,14.890
activities,14.873
agree,14.873
apollos,14.873
arabic,14.873
asunder,14.873
bounty,14.873
chapter,14.873
chaste,14.873
cornelius,14.873
devils,14.873
devout,14.873
disputed,14.873
edification,14.873
epistle,14.873
exists,14.873
greeting,14.873
inevitably,14.873
iscariot,14.873
lake,14.873
legends,14.873
loses,14.873
malice,14.873
pharisee,14.873
reasoned,14.873
remind,14.873
rent,14.873
silas,14.873
successors,14.873
thomas,14.873
travelled,14.873
unbelief,14.873
worshippers,14.873
zakat,14.873
adam,14.872
commandments,14.838
adonijah,14.807
baasha,14.807
darius,14.807
gershon,14.807
heave,14.807
kohath,14.807
nebat,14.807
regular,14.807
shields,14.807
shoulder,14.807
singers,14.807
square,14.807
zeruiah,14.807
evil,14.788
fierce,14.748
queen,14.748
red,14.748
scribe,14.748
standing,14.745
water,14.744
absent,14.682
disobeyed,14.682
inspired,14.682
powers,14.682
privately,14.682
warnings,14.682
devoured,14.633
stretch,14.633
act,14.604
heritage,14.591
receives,14.588
working,14.588
desolation,14.575
execute,14.575
forest,14.575
gladness,14.575
pillar,14.575
despised,14.513
forbid,14.508
noble,14.508
rose,14.329
abiathar,14.314
depths,14.314
escaped,14.312
horns,14.312
cause,14.275
accept,14.166
mercy,14.151
measured,14.144
abishai,14.134
amalekites,14.134
arnon,14.134
asaph,14.134
baruch,14.134
cedars,14.134
concubine,14.134
ezra,14.134
johanan,14.134
lachish,14.134
midianites,14.134
persia,14.134
profaned,14.134
require,14.134
shaphan,14.134
whirlwind,14.134
idols,14.128
sat,14.114
spent,14.108
healed,14.059
countenance,14.055
jesse,13.946
portion,13.932
restore,13.932
ascribe,13.930
payment,13.930
protection,13.930
records,13.930
commands,13.922
israelites,13.922
promised,13.897
open,13.879
conduct,13.861
corruption,13.861
girl,13.861
offense,13.861
good,13.837
fought,13.666
gateway,13.646
governors,13.646
incline,13.646
ancient,13.620
affliction,13.592
happened,13.531
way,13.506
avoid,13.471
benefits,13.471
couches,13.471
girls,13.471
insane,13.471
meaning,13.471
mentioned,13.471
orders,13.471
putting,13.471
teachers,13.471
achish,13.460
ahijah,13.460
besieged,13.460
carmel,13.460
fortress,13.460
jehoram,13.460
micaiah,13.460
og,13.460
twilight,13.460
windows,13.460
harp,13.401
inhabited,13.401
ananias,13.386
barabbas,13.386
blamed,13.386
brass,13.386
caiaphas,13.386
challenge,13.386
decides,13.386
desiring,13.386
explains,13.386
greetings,13.386
hypocrisy,13.386
island,13.386
lawless,13.386
legacy,13.386
munificent,13.386
ra,13.386
real,13.386
resist,13.386
seduce,13.386
unbelieving,13.386
victorious,13.386
zacharias,13.386
zebedee,13.386
beauty,13.354
harvest,13.354
west,13.352
crying,13.330
vineyards,13.319
unclean,13.287
allowed,13.220
despair,13.220
evenings,13.220
final,13.220
friendship,13.220
grateful,13.220
mornings,13.220
regret,13.220
sufferings,13.220
wedding,13.220
creator,13.178
purple,13.134
garments,13.097
testimony,13.084
friends,13.069
base,12.980
hundreds,12.980
jephthah,12.980
lad,12.980
uriah,12.980
weapons,12.980
accepted,12.978
honorable,12.978
brethren,12.974
dust,12.948
search,12.944
yoke,12.944
attention,12.889
camel,12.889
reach,12.889
worse,12.889
bones,12.846
tore,12.793
amalek,12.787
ammonites,12.787
counselors,12.787
curtains,12.787
highway,12.787
hooks,12.787
jabesh,12.787
jehoahaz,12.787
machir,12.787
nethaniah,12.787
plains,12.787
shemesh,12.787
sixteen,12.787
stringed,12.787
stood,12.776
hired,12.695
snare,12.695
settle,12.578
transgressors,12.578
expelled,12.564
obtain,12.564
persecuted,12.564
tempted,12.564
fields,12.550
cover,12.484
matters,12.406
severe,12.399
clean,12.361
eunuchs,12.314
times,12.269
stay,12.246
write,12.246
endures,12.205
fear,12.200
goodness,12.186
written,12.164
ahikam,12.113
baals,12.113
borders,12.113
carts,12.113
cherub,12.113
conspired,12.113
elkanah,12.113
en,12.113
hin,12.113
hittites,12.113
integrity,12.113
maaseiah,12.113
pronounce,12.113
redeemer,12.113
seer,12.113
sisera,12.113
terebinth,12.113
vestibule,12.113
watchman,12.113
wheels,12.113
wickedly,12.113
heeded,12.096
supplication,12.096
tremble,12.096
divorce,12.091
obtained,12.091
record,12.091
strange,12.091
mercies,12.074
closer,12.063
divine,12.063
mocking,12.063
party,12.063
urge,12.063
wishes,12.063
evening,12.045
barley,12.034
dried,12.034
low,12.034
prey,12.034
sabbaths,12.034
rebuke,11.969
stretched,11.969
abode,11.898
ages,11.898
appointment,11.898
bondservants,11.898
charity,11.898
conjecture,11.898
determines,11.898
disbelieving,11.898
dominant,11.898
elizabeth,11.898
excuses,11.898
ha,11.898
impossible,11.898
intention,11.898
lawlessness,11.898
mansions,11.898
neglected,11.898
obstacles,11.898
overcomes,11.898
rome,11.898
spending,11.898
tares,11.898
village,11.898
worry,11.898
zachariah,11.898
weak,11.878
asleep,11.866
invite,11.866
plotted,11.866
powerful,11.866
prophecy,11.866
abraham,11.799
abandoned,11.764
baby,11.764
compassionate,11.764
gladly,11.764
marvel,11.764
natural,11.764
original,11.764
parties,11.764
translated,11.764
unjustly,11.764
vast,11.764
wombs,11.764
worst,11.764
pursued,11.758
creature,11.722
triumph,11.722
feel,11.691
jew,11.691
cords,11.649
joram,11.649
perpetual,11.649
goes,11.595
continue,11.593
wide,11.583
pharaoh,11.564
early,11.511
salvation,11.510
swear,11.485
sacrificed,11.457
folly,11.446
rings,11.446
abigail,11.440
acted,11.440
cakes,11.440
cruel,11.440
cyrus,11.440
ekron,11.440
freewill,11.440
hanan,11.440
hazael,11.440
hiram,11.440
jebusites,11.440
jeshua,11.440
nadab,11.440
naomi,11.440
pan,11.440
shushan,11.440
timber,11.440
valuation,11.440
youngest,11.440
wealth,11.439
precious,11.416
boast,11.368
ability,11.315
persuaded,11.315
joseph,11.281
despite,11.214
prisoner,11.214
redeem,11.171
isaac,11.124
delight,11.122
wild,11.122
captives,11.085
passing,11.084
sent,11.044
fro,10.984
defile,10.983
rebelled,10.983
scatter,10.983
arose,10.893
milk,10.819
cubit,10.798
faithfulness,10.798
province,10.798
provoked,10.798
wave,10.798
majesty,10.770
asahel,10.767
ashdod,10.767
athaliah,10.767
doorposts,10.767
eastward,10.767
hazor,10.767
horeb,10.767
hur,10.767
ithamar,10.767
jackals,10.767
nabal,10.767
naboth,10.767
nebuzaradan,10.767
ner,10.767
obadiah,10.767
repairs,10.767
rimmon,10.767
sheol,10.767
signet,10.767
spears,10.767
succoth,10.767
defeated,10.725
draw,10.725
death,10.698
fragrant,10.666
neglect,10.666
produced,10.666
reckoning,10.666
causes,10.635
holy,10.631
confident,10.572
doomed,10.572
learned,10.572
rightly,10.572
poured,10.558
vengeance,10.530
sealed,10.492
willing,10.492
appeal,10.410
bethany,10.410
bewitched,10.410
bondservant,10.410
bottomless,10.410
charitable,10.410
cilicia,10.410
containing,10.410
corn,10.410
destructive,10.410
disputing,10.410
earthly,10.410
encompasses,10.410
entrusted,10.410
exempt,10.410
exhortation,10.410
expiate,10.410
fatigue,10.410
felix,10.410
females,10.410
foods,10.410
germ,10.410
gnashing,10.410
hud,10.410
incurred,10.410
independent,10.410
infirmities,10.410
mature,10.410
misled,10.410
motionless,10.410
mustard,10.410
persecuting,10.410
perseverance,10.410
pregnant,10.410
prohibited,10.410
quarrelsome,10.410
reasonable,10.410
remission,10.410
simply,10.410
soldier,10.410
steadfastness,10.410
stephen,10.410
surname,10.410
term,10.410
visible,10.410
watchful,10.410
covering,10.387
disaster,10.387
served,10.385
dedicated,10.321
gaza,10.321
jotham,10.321
music,10.321
roar,10.321
accepts,10.314
boldness,10.314
destined,10.314
existed,10.314
faithless,10.314
protected,10.314
sir,10.314
start,10.314
submission,10.314
fallen,10.296
choice,10.232
sarah,10.232
sheba,10.232
exalt,10.152
looks,10.152
uzziah,10.152
feasts,10.143
forces,10.143
vow,10.143
amnon,10.093
anathoth,10.093
aram,10.093
citadel,10.093
coastlands,10.093
concubines,10.093
customary,10.093
cymbals,10.093
cypress,10.093
district,10.093
elah,10.093
ham,10.093
jebusite,10.093
jehoash,10.093
keilah,10.093
leprous,10.093
libnah,10.093
lowland,10.093
maid,10.093
meshullam,10.093
moabites,10.093
perizzites,10.093
pot,10.093
pronounced,10.093
rebuilt,10.093
tarshish,10.093
tirzah,10.093
uncover,10.093
uzziel,10.093
woods,10.093
haste,10.011
hate,10.005
deaf,9.983
praying,9.983
steps,9.979
vine,9.979
makes,9.965
shut,9.931
wash,9.931
prepare,9.931
longsuffering,9.882
lust,9.882
sleeping,9.882
anymore,9.873
cast,9.823
age,9.806
animal,9.796
corners,9.796
right,9.754
works,9.747
ordained,9.682
amon,9.658
contend,9.658
kish,9.658
lamentation,9.658
officer,9.658
shoot,9.658
treacherously,9.658
twelfth,9.658
zerah,9.658
awake,9.626
breaks,9.626
consecrated,9.626
shepherds,9.626
spices,9.626
country,9.625
knees,9.519
oppress,9.519
oppression,9.519
boaz,9.509
obed,9.509
ruins,9.509
scales,9.509
treasuries,9.509
image,9.483
soldiers,9.479
paths,9.439
ahimelech,9.420
ahithophel,9.420
armorbearer,9.420
aroer,9.420
backward,9.420
bare,9.420
beams,9.420
bone,9.420
capitals,9.420
delights,9.420
dread,9.420
eliab,9.420
firmament,9.420
furnishings,9.420
hermon,9.420
jearim,9.420
jephunneh,9.420
kohathites,9.420
maachah,9.420
michal,9.420
nebo,9.420
nostrils,9.420
posterity,9.420
rabshakeh,9.420
section,9.420
seraiah,9.420
split,9.420
uncle,9.420
uprightness,9.420
sounded,9.368
deceived,9.365
abound,9.302
devoted,9.302
blame,9.285
blasphemy,9.285
confirms,9.285
considering,9.285
fearing,9.285
intercession,9.285
minded,9.285
relieved,9.285
shortly,9.285
woe,9.220
divisions,9.210
grapes,9.210
spoken,9.168
innocent,9.142
unleavened,9.142
complete,9.115
purify,9.115
short,9.115
testified,9.115
observe,9.100
bed,9.041
borne,9.024
passes,9.024
understand,9.023
ishmael,9.020
change,9.014
entrails,8.997
jezebel,8.997
repaired,8.997
strongholds,8.997
absence,8.923
accounts,8.923
address,8.923
al,8.923
animosity,8.923
aquila,8.923
argument,8.923
authorities,8.923
baptize,8.923
baptizing,8.923
barracks,8.923
beelzebub,8.923
bellies,8.923
bethsaida,8.923
boats,8.923
caravan,8.923
cephas,8.923
chastity,8.923
collector,8.923
commend,8.923
denarii,8.923
denarius,8.923
deserved,8.923
destination,8.923
encompassed,8.923
endured,8.923
farms,8.923
glass,8.923
granting,8.923
hajj,8.923
humiliate,8.923
intimate,8.923
invents,8.923
nathanael,8.923
nearer,8.923
owe,8.923
paralytic,8.923
philippi,8.923
planned,8.923
praetorium,8.923
precinct,8.923
predestined,8.923
preferred,8.923
prevented,8.923
